articleID,url,title,createTime,recovery,label
1193,https://www.myhousing.com.tw//index.php?option=com_kunena&view=topic&catid=8&id=100147&Itemid=0,要去看萬華區預售建案「岳泰豐鼎」，要談多少錢？,2018/4/17 23:41,這個建案靠近西門町商圈，算是臺北繁榮的區段之一，規畫層，從樓逐漸退縮，覺得之間感覺看見樓的屋頂太靠近不好所以建議買樓，或是樓以上我認為比較好。,1
174,https://www.mobile01.com/topicdetail.php?f=454&t=6239182,看看某高立委 就知道有本事的人還是會買房 還是買在台北市,2020/11/18 10:01,哈哈哈只有覺青覺得青色的會打房吧被騙當免費網軍被賣了還不知道乖乖當網軍的通常是買不起房的那群真的很諷刺,0
863,https://www.mobile01.com/topicdetail.php?f=454&t=5153392,內湖citylink百貨開幕準備,2017/5/17 13:03,下午好像有明星在麵包店，我沒有在追劇,1
455,https://www.mobile01.com/topicdetail.php?f=454&t=2086122,想真正了解房市走勢的人進來吧!,2011/4/1 13:49,大家所提出的看法都是對的其實這在美國二次房貸處理的方式上再加上歐洲債務問題如今的局勢是必然的趨勢是可預見研判的現在國內的房價是否漲跌已不重要因為房價如今已由不得自己控制了因為進入了央行升息階段我先讓大家瞭解沒有一個國家的央行會隨便亂調利率不管是升降因為那是對全國總體經濟影響最大的行為模式而且是有負作用的也就是要付出代價的不是央行老大說升就升說降就降回來說正題現在央行進入調整利率的動作階段但這裡要先分清楚是自己要調整還是被迫調整舉例中國就是自己調整因為它們懼怕失控的通膨央行自行了斷也可說是不計一切代價目的也是為了護航人民幣緩升但也代表中國己預測到通膨的力道有多強了回到台灣台灣沒有本錢面對這次的災難應該說全亞洲目前都無法帶頭解決這次的災難因為美國利用它的決對優勢美金美國在次貸危機處理中把美金當作武器來使用因為這個武器在全世界都必須要買單沒有一個國家可以對它說世界各國的央行也知美國的玩法而且這也不是第一次但重點來了偏偏歐洲區的國家也出現問題之前歐洲也玩同樣的手法現在問題來了不是不報，只是時機未到歐美是全球最大進口國但他們處理的方式造就了未開發國家貧窮國及出口國物價通膨但這些出口國又不甘願的升值該國貨幣來反應國際間的市場間接圖利了該國有有權人士的資產剝削了人民的購買力所以幾年後首先中東內戰人民買不起糧食之後亞洲資產泡沬說了那麼多簡單說明如下,0
241,https://www.mobile01.com/topicdetail.php?f=454&t=4492794,內湖五期根本是被低估的區域，交通超方便，大眾運輸也完善，生活機能爆表,2015/8/11 13:10,大溫地區您要說美國郊區會比內湖五期漂亮，除非你說富人區要不然普通郊區，連人行道都有可能是破的，常常一片荒地,0
707,https://www.mobile01.com/topicdetail.php?f=454&t=5453393,台北市人口持續遷出，是什麼力量在支撐著房價呢？,2018/5/6 21:06,臺北很多住宅是養鬼用的，誰跟你住人,0
34,https://www.mobile01.com/topicdetail.php?f=454&t=6101603,文山區或新店區別墅推薦~~(7/19更新已購屋驗屋，謝謝大家!)(也請推薦設計師),2020/5/26 00:21,這段時間感謝大家的回應及意見，多方衡量後決定做文山區的居民啦板橋住了年現在要搬到小山丘啦也希望大有機會過來做鄰居這幾天忙著簽約銀行對保，今天匯完頭期款尾款後才有時間回覆大家的回應，謝謝大家過兩天銀行貸款程序完成後，再來與大家分享購屋過程及心得，感謝各位,1
389,https://www.mobile01.com/topicdetail.php?f=454&t=3495057,青年人的悲哀,2013/8/10 00:26,你解釋的已很清楚了。不想看懂，只挑自己想要看的幾個字，你講破嘴也沒用。當做沒看到就好了。,0
24,https://www.mobile01.com/topicdetail.php?f=454&t=5180116,南港衝刺建設，低價高CP值大樓分享【《有圖有照》】<持續更新>,2017/6/15 09:18,好野人應該會住天匯我普通人不過看來看去目前也是那兩個建築沒什麼搞頭反而我比較期待是南港路麵粉廠那兩排老房有沒有要更新,1
935,https://www.myhousing.com.tw//index.php?option=com_kunena&view=topic&catid=8&id=102971&Itemid=0,桃園的豐邑風禾如何？,2020/9/12 21:29,想看桃園的風禾公園附近，不知道最近預售的豐邑如何因為交流道近，交通感覺方便，地點也舒適生活圈都在臺北，對那不是太熟,1
